Date,Sleep Hours
08/05/24 19:15,7.5
08/06/24 20:25,6
08/07/24 18:35,5.5
08/08/24 22:45,9
08/09/24 23:55,10
,
,
,
08/13/2024 22:35,7
08/14/2024 18:45,6
08/15/2024 23:45:57,4
08/16/2024 19:55:43,9
08/17/2024 20:05:22,10
08/18/2024 21:15:30,10
08/19/2024 22:25:34,9
08/20/2024 23:35:28,7.5
08/21/2024 18:25:11,5.5
08/23/2024 20:55:16,9
08/24/2024 21:05:41,8
08/25/2024 22:15:03,9
08/26/2024 23:25:20,8
08/27/2024 19:35:47,9
08/28/2024 18:05:15,5
08/29/2024 20:45:51,7.5
08/30/2024 21:55:38,8
08/31/2024 22:05:07,8
,
09/01/24 23:15,10.7
09/02/24 19:25,8.6
09/03/24 20:35,7.2
09/04/24 18:45,6
09/05/24 22:55,9.1
09/06/24 23:05,7.3
09/07/24 19:15,8.2
09/08/24 20:25,10.1
09/09/24 21:35,7.8
09/10/24 22:45,6.7
09/11/24 18:25,5
09/12/24 23:55,8.3
09/13/2024 19:05:31,7.5
09/14/2024 20:15:27,9.2
09/15/2024 21:25:17,10.4
09/16/2024 22:35:22,8.9
09/17/2024 23:45:54,7.6
09/18/2024 18:35:29,4
09/19/2024 19:55:46,9
09/20/2024 20:05:36,8.2
09/21/2024 21:15:59,7.1
09/22/2024 22:25:15,10.9
09/23/2024 23:35:41,6.8
09/24/2024 19:45:57,8.5
09/25/2024 18:55:12,5
09/26/2024 20:05:44,9.1
09/27/2024 21:15:38,7
09/28/2024 22:25:03,8.4
09/29/2024 23:35:17,10.5
09/30/2024 19:15:52,7.3
10/01/24 20:25,6.9
10/02/24 18:45,11
10/03/24 22:55,8.6
10/04/24 23:05,7.3
10/05/24 19:15,9.2
10/06/24 20:25,10.2
10/07/24 21:35,8.5
10/08/24 22:45,7.2
10/09/24 18:55,6.5
10/10/24 23:55,9.4
10/11/24 19:05,8.1
10/12/24 20:15,7.4
10/13/2024 21:25:40,10.6
10/14/2024 22:35:37,9.3
10/15/2024 23:45:28,6.9
10/16/2024 18:35:09,5
10/17/2024 19:45:24,8.3
10/18/2024 20:55:48,9.5
10/19/2024 21:05:12,7.9
10/20/2024 22:15:39,10.4
10/21/2024 23:25:31,7.2
10/22/2024 19:35:45,8.6
10/23/2024 18:25:50,6
10/24/2024 20:45:19,9
10/25/2024 21:55:53,7.7
10/26/2024 22:05:28,8.2
10/27/2024 23:15:43,10.8
10/28/2024 19:25:34,7.9
10/29/2024 20:35:18,6.5
10/30/2024 18:45:22,5.5
,
,
11/02/24 19:15,7.1
11/03/24 20:25,10.9
11/04/24 21:35,8
11/05/24 22:45,6.9
11/06/24 18:25,6.7
